Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-07-24,85614.62145030426,85787.93040060851,84401.45879817444,85441.3125,145398,0.0,0
2018-07-25,85268.00571098561,86134.55048447124,83448.2616866658,84401.4609375,150965,0.0,0
2018-07-26,84834.7315654574,84834.7315654574,82321.75177444794,82408.40625,319499,0.0,0
2018-07-27,82841.68145898642,83101.64489452717,82148.44563087774,82928.3359375,186475,0.0,0
2018-07-30,82755.0167236328,83448.2524658203,82755.0167236328,83188.2890625,148128,0.0,0
2018-07-31,83448.2578125,83708.22123247664,82841.6764992212,83448.2578125,141838,0.0,0
2018-08-01,83708.2265625,84141.49895671583,83274.95416828417,83708.2265625,107817,0.0,0
2018-08-02,83448.25923592932,83708.22266034031,82668.36896269633,82755.0234375,104767,0.0,0
2018-08-03,82755.02593224791,82841.68040966387,82235.0990677521,82495.0625,150181,0.0,0
2018-08-06,82321.75139452332,85961.23935091277,82321.75139452332,85441.3125,384565,0.0,0
2018-08-07,84921.38211382114,85441.30894308942,84314.80081300813,85268.0,127913,0.0,0
2018-08-08,84574.77093973442,85094.69781026557,84574.77093973442,84834.734375,98287,0.0,0
2018-08-09,84748.07884689425,85181.35123363706,84228.15198280287,84401.4609375,208831,0.0,0
2018-08-10,84228.15270618556,85094.6974871134,83794.88031572165,84054.84375,210740,0.0,0
2018-08-13,83881.52832446809,83881.52832446809,80761.9673537234,81455.203125,441982,0.0,0
2018-08-14,81715.16724258814,81715.16724258814,80848.62252103366,81108.5859375,130791,0.0,0
2018-08-16,80502.00638661203,80935.27875683061,78768.91690573771,79288.84375,296281,0.0,0
2018-08-17,79028.87747524751,79288.84088799504,78422.29617883662,78768.9140625,154206,0.0,0
2018-08-20,79202.18532217921,79462.14873133297,77989.02274612832,78335.640625,197334,0.0,0
2018-08-21,78422.29798149141,80935.27769581546,77989.0256169528,80761.96875,295950,0.0,0
2018-08-22,80155.38674379006,81195.24040965545,80155.38674379006,81108.5859375,176028,0.0,0
2018-08-23,80935.27803658869,81021.93250986126,79288.84304440969,79635.4609375,234158,0.0,0
2018-08-24,79115.53480191257,80675.31533469947,78768.91690573771,79288.84375,167063,0.0,0
2018-08-27,79288.84058093817,79982.07634558025,79028.8771691974,79895.421875,163088,0.0,0
2018-08-28,79808.76494087838,80848.61855574325,79462.14706925675,80155.3828125,211750,0.0,0
2018-08-29,80155.39134602335,80675.31820880836,79635.46448323832,79808.7734375,107676,0.0,0
2018-08-30,79895.42791463084,80328.70030028501,79462.15552897665,79808.7734375,122523,0.0,0
2018-08-31,79635.45600506756,80242.0372804054,79115.52919763513,80155.3828125,161126,0.0,0
2018-09-03,79722.12425595238,80242.05115327382,79375.50632440476,80068.7421875,87976,0.0,0
2018-09-04,79722.11896036916,80068.7368688925,79288.84657471497,79808.7734375,114652,0.0,0
2018-09-05,79462.14982982673,79722.11324257425,78682.25959158415,78768.9140625,172011,0.0,0
2018-09-06,78855.56117238561,79982.06918913398,78855.56117238561,79548.796875,185541,0.0,0
2018-09-07,79895.42824260752,80588.6640625,79288.8469002016,80588.6640625,209212,0.0,0
2018-09-10,80155.38459267009,80328.69353232991,78942.22201505129,80242.0390625,155896,0.0,0
2018-09-11,79722.1171875,80242.04403872283,79375.49928668479,79722.1171875,134993,0.0,0
2018-09-12,79808.77237991267,79808.77237991267,78768.91866812228,79375.5,186091,0.0,0
2018-09-13,79635.4634279476,80502.00818777292,79288.84552401747,79375.5,365978,0.0,0
2018-09-14,79548.8082370924,80328.69851392663,79288.84481148097,79722.1171875,233894,0.0,0
2018-09-17,79375.49714972527,79375.49714972527,78855.5703125,78855.5703125,142219,0.0,0
2018-09-18,78508.95418839189,79288.8444617865,78508.95418839189,78942.2265625,120359,0.0,0
2018-09-19,78682.25850387168,78768.91297358961,77989.02274612832,78335.640625,256916,0.0,0
2018-09-20,78075.67692714013,79462.1484375,78075.67692714013,79462.1484375,261900,0.0,0
2018-09-21,80242.03715820312,83708.21586914062,80242.03715820312,83188.2890625,670255,0.0,0
2018-09-27,82321.74438476561,84141.48820800781,82321.74438476561,83188.2890625,300342,0.0,0
2018-09-28,83188.29650565262,84401.45916302671,82928.33307907244,84314.8046875,205720,0.0,0
2018-10-01,84314.80685809052,84488.11581360562,83014.98969172736,83274.953125,149856,0.0,0
2018-10-02,83101.6441694849,84228.15238033298,82668.37178069718,83274.953125,211067,0.0,0
2018-10-04,83794.88709520725,84054.85055051814,82841.68775906735,83621.578125,317806,0.0,0
2018-10-05,83621.56181469298,85094.68777412281,83188.28947368421,83968.1796875,343248,0.0,0
2018-10-08,84054.84019886363,84748.07599431818,81975.1328125,81975.1328125,187007,0.0,0
2018-10-10,81975.13635614452,82495.06322521096,79982.08335805644,82148.4453125,201984,0.0,0
2018-10-11,80155.38559715346,82061.78395730197,78768.9140625,78768.9140625,337633,0.0,0
2018-10-12,78768.9111814784,79115.529052464,77642.40310077519,78248.984375,278386,0.0,0
